collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4426349,105673,61,Georgia,SEC,Jacksonville,2022,1,1,1,Travon Walker,Defensive End,77,272,2,2,93,"{'city': 'Thomaston', 'state': 'GA', 'country': 'USA', 'latitude': '32.8881879', 'longitude': '-84.3265855', 'countyFips': '13293'}"
4381558,105548,61,Georgia,SEC,Philadelphia,2022,13,1,13,Jordan Davis,Defensive Tackle,78,341,12,1,92,"{'city': 'Charlotte', 'state': 'NC', 'country': 'USA', 'latitude': '35.2272', 'longitude': '-80.843083', 'countyFips': '37119'}"
4379416,105890,61,Georgia,SEC,Green Bay,2022,22,1,22,Quay Walker,Inside Linebacker,76,241,31,3,88,"{'city': 'Cordele', 'state': 'GA', 'country': 'USA', 'latitude': '31.9635074', 'longitude': '-83.7823938', 'countyFips': '13081'}"
4361791,105708,61,Georgia,SEC,Green Bay,2022,28,1,28,Devonte Wyatt,Defensive Tackle,75,304,23,2,90,"{'city': 'Decatur', 'state': 'GA', 'country': 'USA', 'latitude': '33.7737582', 'longitude': '-84.296069', 'countyFips': '13089'}"
4426536,105604,61,Georgia,SEC,Minnesota,2022,32,1,32,Lewis Cine,Safety,74,199,41,3,86,"{'city': 'Cedar Hill', 'state': 'TX', 'country': 'USA', 'latitude': '32.5888072', 'longitude': '-96.9553675', 'countyFips': '48113'}"
4426354,105609,61,Georgia,SEC,Pittsburgh,2022,52,2,20,George Pickens,Wide Receiver,75,195,58,10,83,"{'city': 'Hoover', 'state': 'AL', 'country': 'USA', 'latitude': '33.3848933', 'longitude': '-86.8070484', 'countyFips': '01073'}"
4379399,105713,61,Georgia,SEC,Buffalo,2022,63,2,31,James Cook,Running Back,71,199,86,3,75,"{'city': 'Miami', 'state': 'FL', 'country': 'USA', 'latitude': '25.7742658', 'longitude': '-80.1936589', 'countyFips': '12086'}"
4426340,105543,61,Georgia,SEC,Philadelphia,2022,83,3,19,Nakobe Dean,Inside Linebacker,71,229,19,1,91,"{'city': 'Horn Lake', 'state': 'MS', 'country': 'USA', 'latitude': '34.9553719', 'longitude': '-90.0348139', 'countyFips': '28033'}"
4379414,105662,61,Georgia,SEC,Miami,2022,102,3,38,Channing Tindall,Inside Linebacker,74,230,79,7,77,"{'city': 'Columbia', 'state': 'SC', 'country': 'USA', 'latitude': '34.0007493', 'longitude': '-81.0343313', 'countyFips': '45079'}"
4361777,105666,61,Georgia,SEC,Las Vegas,2022,122,4,17,Zamir White,Running Back,72,214,97,7,71,"{'city': 'Laurinburg', 'state': 'NC', 'country': 'USA', 'latitude': '34.7740495', 'longitude': '-79.4628248', 'countyFips': '37165'}"
4379396,106043,61,Georgia,SEC,Tampa Bay,2022,133,4,28,Jake Camarda,Punter,73,193,263,3,44,"{'city': 'Norcross', 'state': 'GA', 'country': 'USA', 'latitude': '33.9412127', 'longitude': '-84.2135309', 'countyFips': '13135'}"
4259565,105683,61,Georgia,SEC,Atlanta,2022,190,6,11,Justin Shaffer,Offensive Guard,76,314,183,14,57,"{'city': 'Ellenwood', 'state': 'GA', 'country': 'USA', 'latitude': '33.6101096', 'longitude': '-84.287978', 'countyFips': '13063'}"
4379412,105583,61,Georgia,SEC,Los Angeles,2022,195,6,16,Jamaree Salyer,Offensive Guard,75,321,122,7,68,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA', 'latitude': '33.7490987', 'longitude': '-84.3901849', 'countyFips': '13121'}"
4360307,105616,61,Georgia,SEC,Los Angeles,2022,212,6,34,Derion Kendrick,Cornerback,72,194,246,31,46,"{'city': 'Rock Hill', 'state': 'SC', 'country': 'USA', 'latitude': '34.9248667', 'longitude': '-81.0250784', 'countyFips': '45091'}"
4379401,105911,61,Georgia,SEC,Atlanta,2022,213,6,35,John FitzPatrick,Tight End,79,262,305,19,38,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA', 'latitude': '33.7490987', 'longitude': '-84.3901849', 'countyFips': '13121'}"
