collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4360383,105981,356,Illinois,Big Ten,Detroit,2022,97,3,33,Kerby Joseph,Safety,73.0,203.0,73,6,79,"{'city': 'Orlando', 'state': 'FL', 'country': 'USA', 'latitude': '28.5421109', 'longitude': '-81.3790304', 'countyFips': '12095'}"
4240554,105921,356,Illinois,Big Ten,Minnesota,2022,184,6,5,Vederian Lowe,Offensive Tackle,77.0,314.0,180,18,58,"{'city': 'Rockford', 'state': 'IL', 'country': 'USA', 'latitude': '42.2713945', 'longitude': '-89.093966', 'countyFips': '17201'}"
4047178,105744,356,Illinois,Big Ten,Chicago,2022,207,6,29,Doug Kramer,Center,,,275,9,43,"{'city': 'Hinsdale', 'state': 'IL', 'country': 'USA', 'latitude': '41.794528', 'longitude': '-87.92761808245767', 'countyFips': '17043'}"
