collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4360259,105576,201,Oklahoma,Big 12,Denver,2022,64,2,32,Nik Bonitto,Outside Linebacker,75,248,64.0,4.0,80.0,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'USA', 'latitude': '26.1223084', 'longitude': '-80.1433786', 'countyFips': '12011'}"
4360255,105925,201,Oklahoma,Big 12,Minnesota,2022,66,3,2,Brian Asamoah,Inside Linebacker,72,226,107.0,9.0,70.0,"{'city': 'Columbus', 'state': 'OH', 'country': 'USA', 'latitude': '39.9622601', 'longitude': '-83.0007065', 'countyFips': '39049'}"
4686470,105580,201,Oklahoma,Big 12,Cleveland,2022,108,4,3,Perrion Winfrey,Defensive Tackle,76,290,54.0,4.0,84.0,"{'city': 'Maywood', 'state': 'IL', 'country': 'USA', 'latitude': '41.8791979', 'longitude': '-87.8431155', 'countyFips': '17031'}"
4360287,106075,201,Oklahoma,Big 12,Denver,2022,152,5,9,Delarrin Turner-Yell,Safety,70,197,253.0,20.0,45.0,"{'city': 'Hempstead', 'state': 'TX', 'country': 'USA', 'latitude': '30.0929491', 'longitude': '-96.0806548', 'countyFips': '48473'}"
4360174,106250,201,Oklahoma,Big 12,Cleveland,2022,202,6,24,Michael Woods II,Wide Receiver,73,198,,,,"{'city': 'Magnolia', 'state': 'TX', 'country': 'USA', 'latitude': '30.2093794', 'longitude': '-95.7507815', 'countyFips': '48339'}"
4241404,106033,201,Oklahoma,Big 12,Cleveland,2022,223,7,2,Isaiah Thomas,Defensive End,77,266,191.0,17.0,56.0,"{'city': 'Tulsa', 'state': 'OK', 'country': 'USA', 'latitude': '36.1556805', 'longitude': '-95.9929113', 'countyFips': '40143'}"
4241382,105942,201,Oklahoma,Big 12,Arizona,2022,257,7,36,Marquis Hayes,Offensive Guard,77,318,139.0,10.0,64.0,"{'city': 'Maryland Heights', 'state': 'MO', 'country': 'USA', 'latitude': '38.7150511', 'longitude': '-90.435999', 'countyFips': '29189'}"
