Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,415,1860,4.5,6,10,3,63,96,23.1,4
Bears,388,1468,3.8,8,6,0,36,88,22.7,6
Falcons,499,2009,4,11,14,0,38,105,21,9
Browns,420,1793,4.3,15,18,3,74T,87,20.7,5
Bills,409,1880,4.6,14,13,2,83,96,23.5,4
Eagles,410,1758,4.3,13,8,0,29,111,27.1,5
Lions,408,1509,3.7,15,5,0,37,91,22.3,4
49ers,369,1525,4.1,10,10,2,49T,97,26.3,4
Steelers,454,1956,4.3,9,9,3,69,95,20.9,8
Saints,462,2038,4.4,10,11,3,48,100,21.6,4
Colts,518,2105,4.1,22,11,1,69T,123,23.8,7
Rams,433,1816,4.2,14,10,1,51,108,24.9,7
Cardinals,521,2434,4.7,19,12,1,56,141,27.1,4
Cowboys,459,1910,4.2,14,9,2,45T,108,23.5,8
Dolphins,433,1650,3.8,15,6,2,55,109,25.2,5
Giants,475,2251,4.7,24,15,1,76T,134,28.2,6
Jaguars,421,1752,4.2,15,13,1,69,99,23.5,4
Broncos,469,2331,5,15,17,5,72T,119,25.4,12
Panthers,508,2081,4.1,25,12,3,62T,122,24,4
Titans,480,1831,3.8,10,7,1,56T,103,21.5,3
Texans,468,1643,3.5,19,5,1,49T,110,23.5,5
Packers,493,2181,4.4,15,16,1,40,120,24.3,5
Buccaneers,422,1620,3.8,11,5,0,29,101,23.9,8
Chargers,467,1924,4.1,18,11,1,75T,110,23.6,8
Chiefs,432,1925,4.5,10,7,4,63T,107,24.8,7
Patriots,480,1584,3.3,14,6,3,50T,100,20.8,11
Raiders,479,2015,4.2,15,10,1,51,117,24.4,6
Vikings,446,1678,3.8,14,2,1,43,104,23.3,7
Jets,517,2108,4.1,14,10,2,48T,111,21.5,13
Bengals,456,2145,4.7,17,17,1,41,127,27.8,6
Seahawks,515,2352,4.6,24,18,4,72,143,27.8,3
Commanders,480,2155,4.5,15,14,1,64T,121,25.2,8
