collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4241479,104093,333,Alabama,SEC,Miami,2020,5,1,5,Tua Tagovailoa,Quarterback,72,217,7,2,93,"{'city': 'Ewa Beach', 'state': 'HI', 'country': 'USA', 'latitude': '21.315603', 'longitude': '-158.008804', 'countyFips': '15003'}"
4241482,104425,333,Alabama,SEC,Cleveland,2020,10,1,10,Jedrick Wills Jr.,Offensive Tackle,76,312,8,1,93,"{'city': 'Lexington', 'state': 'KY', 'country': 'USA', 'latitude': '38.0464066', 'longitude': '-84.4970393', 'countyFips': '21067'}"
4241475,104103,333,Alabama,SEC,Las Vegas,2020,12,1,12,Henry Ruggs III,Wide Receiver,71,188,11,3,92,"{'city': 'Montgomery', 'state': 'AL', 'country': 'USA', 'latitude': '32.3669656', 'longitude': '-86.3006485', 'countyFips': '01101'}"
4241463,104094,333,Alabama,SEC,Denver,2020,15,1,15,Jerry Jeudy,Wide Receiver,73,193,6,1,94,"{'city': 'Deerfield Beach', 'state': 'FL', 'country': 'USA', 'latitude': '26.318342', 'longitude': '-80.0996306', 'countyFips': '12011'}"
4241470,104198,333,Alabama,SEC,New York,2020,36,2,4,Xavier McKinney,Safety,72,201,17,1,91,"{'city': 'Roswell', 'state': 'GA', 'country': 'USA', 'latitude': '34.02332', 'longitude': '-84.360022', 'countyFips': '13121'}"
4040966,104110,333,Alabama,SEC,Dallas,2020,51,2,19,Trevon Diggs,Cornerback,73,205,39,3,86,"{'city': 'Gaithersburg', 'state': 'MD', 'country': 'USA', 'latitude': '39.1434406', 'longitude': '-77.2013705', 'countyFips': '24031'}"
4040965,104111,333,Alabama,SEC,Miami,2020,56,2,24,Raekwon Davis,Defensive Tackle,78,311,105,8,68,"{'city': 'Meridian', 'state': 'MS', 'country': 'USA', 'latitude': '32.3643098', 'longitude': '-88.703656', 'countyFips': '28075'}"
4040968,104113,333,Alabama,SEC,Los Angeles,2020,84,3,20,Terrell Lewis,Outside Linebacker,77,262,67,3,75,"{'city': 'Washington', 'state': 'DC', 'country': 'USA', 'latitude': '38.8949855', 'longitude': '-77.0365708', 'countyFips': '11001'}"
3925350,104129,333,Alabama,SEC,New England,2020,87,3,23,Anfernee Jennings,Outside Linebacker,74,256,101,7,69,"{'city': 'Dadeville', 'state': 'AL', 'country': 'USA', 'latitude': '32.831238', 'longitude': '-85.7635692', 'countyFips': '01123'}"
