collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4362887,104739,194,Ohio State,Big Ten,Chicago,2021,11,1,11,Justin Fields,Quarterback,75,227,11,4,91,"{'city': 'Kennesaw', 'state': 'GA', 'country': 'USA', 'latitude': '34.0234337', 'longitude': '-84.6154897', 'countyFips': '13067'}"
4241993,104769,194,Ohio State,Big Ten,New Orleans,2021,60,2,28,Pete Werner,Inside Linebacker,75,238,99,7,71,"{'city': 'Indianapolis', 'state': 'IN', 'country': 'USA', 'latitude': '39.7683331', 'longitude': '-86.1583502', 'countyFips': '18097'}"
4242000,104832,194,Ohio State,Big Ten,Green Bay,2021,62,2,30,Josh Myers,Center,77,310,106,3,70,"{'city': 'Miamisburg', 'state': 'OH', 'country': 'USA', 'latitude': '39.6428362', 'longitude': '-84.2866083', 'countyFips': '39113'}"
4241999,104763,194,Ohio State,Big Ten,Minnesota,2021,86,3,23,Wyatt Davis,Offensive Guard,76,315,82,5,74,"{'city': 'Bellflower', 'state': 'CA', 'country': 'USA', 'latitude': '33.8825705', 'longitude': '-118.1167679', 'countyFips': '06037'}"
4241401,104844,194,Ohio State,Big Ten,San Francisco,2021,88,3,25,Trey Sermon,Running Back,72,215,79,4,75,"{'city': 'Marietta', 'state': 'GA', 'country': 'USA', 'latitude': '33.9528472', 'longitude': '-84.5496148', 'countyFips': '13067'}"
4241987,104785,194,Ohio State,Big Ten,Denver,2021,105,3,42,Baron Browning,Outside Linebacker,75,245,107,5,70,"{'city': 'Fort Worth', 'state': 'TX', 'country': 'USA', 'latitude': '32.753177', 'longitude': '-97.3327459', 'countyFips': '48439'}"
4361366,105285,194,Ohio State,Big Ten,Cleveland,2021,132,4,27,Tommy Togiai,Defensive Tackle,74,296,135,12,65,"{'city': 'Pocatello', 'state': 'ID', 'country': 'USA', 'latitude': '42.8688613', 'longitude': '-112.4401098', 'countyFips': '16005'}"
4040612,105351,194,Ohio State,Big Ten,Jacksonville,2021,145,5,1,Luke Farrell,Tight End,78,251,313,17,31,"{'city': 'Perry', 'state': 'OH', 'country': 'USA', 'latitude': '41.760326', 'longitude': '-81.140932', 'countyFips': '39085'}"
4241995,104746,194,Ohio State,Big Ten,Baltimore,2021,160,5,16,Shaun Wade,Cornerback,73,196,101,16,71,"{'city': 'Jacksonville', 'state': 'FL', 'country': 'USA', 'latitude': '30.3321838', 'longitude': '-81.655651', 'countyFips': '12031'}"
4040608,105336,194,Ohio State,Big Ten,Denver,2021,239,7,11,Jonathon Cooper,Defensive End,75,253,300,26,31,"{'city': 'Gahanna', 'state': 'OH', 'country': 'USA', 'latitude': '40.0195625', 'longitude': '-82.8791363', 'countyFips': '39049'}"
